# File: basin_water_demand_1990_2010.csv
# Title: water demand (all sectors) by basin for water supply calibration period
# Source: queried from prior GCAM calibration period run
# Comments: This data is used solely for calibrating accessible water fractions using historical runoff and groundwater extraction rates. It is not used to set up water demand in GCAM.
# Comments: ... Actual GCAM Water demands are determined dynamically within the model for each sector (see sean.turner@pnnl.gov for details)
# Units: km^3/yr
basin.id,year,demand
55,1990,15.091441399999999
55,2005,17.30368592758648
55,2010,17.199498871561193
171,1990,1.7238516400000001
171,2005,2.99340037
171,2010,3.8269127899999997
190,1990,0.72336378
190,2005,1.12569458
190,2010,1.20444488
144,1990,3.0618366557999996
144,2005,5.628331273749907
144,2010,7.212978875067762
86,1990,10.076844614
86,2005,16.58236968275896
86,2010,19.316013383705908
100,1990,0.60389990212
100,2005,0.9663760929
100,2010,1.0677443969
197,1990,0.112491208
197,2005,0.18039615
197,2010,0.19446602
142,1990,1.1319101
142,2005,3.2377085043844893
142,2010,1.8988021000000002
168,1990,4.90067398998
168,2005,7.66667987178
168,2010,8.53382722561
58,1990,66.2725924778908
58,2005,45.85926268
58,2010,47.13386186
43,1990,30.608949921
43,2005,44.555429423
43,2010,51.62005619
182,1990,0.30895855
182,2005,0.54622909
182,2010,0.61719984
94,1990,15.080573
94,2005,23.785596816394303
94,2010,23.476646
104,1990,3.19625809
104,2005,5.18972182
104,2010,5.677507370000001
1,1990,0.006282091
1,2005,0.005199762399999999
1,2010,0.0056489587
224,1990,19.972385
224,2005,24.544769234649
224,2010,24.622048127374
19,1990,1.12493581
19,2005,1.5192374100000001
19,2010,1.481352
189,1990,7.931501
189,2005,13.028508
189,2010,11.414287
193,1990,0.4538063
193,2005,0.748994613499105
193,2010,0.6640397
184,1990,0.43574220999999996
184,2005,0.67238886
184,2010,0.60620965
202,1990,0.7803194999999999
202,2005,1.3049543000000001
202,2010,1.1650381
191,1990,0.9734109
191,2005,1.6366525996387
191,2010,1.463915902582625
91,1990,0.64371817244482
91,2005,0.8043829781874
91,2010,0.8625933037279
20,1990,2.60457164
20,2005,2.0796297
20,2010,1.9698388500000001
116,1990,0.766326786
116,2005,1.17498264
116,2010,1.5417912599999999
47,1990,12.1530463
47,2005,7.8721687000000005
47,2010,8.5671108
70,1990,10.5367235
70,2005,12.561604756
70,2010,14.130029565375331
66,1990,25.32421002
66,2005,38.6620909
66,2010,45.1125748475242
120,1990,1.99939316
120,2005,3.312555
120,2010,3.8521370999999998
217,1990,29.10280481586357
217,2005,34.240901744204095
217,2010,32.68460424983413
101,1990,10.937268187645262
101,2005,10.3033024746319
101,2010,10.4407382734707
143,1990,4.0872800245
143,2005,9.05007835139722
143,2010,5.8066051281
52,1990,47.25753203900552
52,2005,40.72246971185668
52,2010,39.39955110494514
72,1990,26.535632340000003
72,2005,34.65277401
72,2010,36.137499441623596
